Name,Funding,Department
Medical Reserve Corps Small Grant Program ,2000000,Department of Health and Human Services
Medical Student Education ,60000000,Department of Health and Human Services
Medicare Enrollment Assistance Program,0,Department of Health and Human Services
Medicare Hospital Insurance ,388800000000,Department of Health and Human Services
The White House budget offce said Medicare benefts would not be affected. Money Follows the Person Rebalancing Demonstration,494000000,Department of Health and Human Services
Multiple Approaches to Support Young Breast Cancer Survivors and Metastatic Breast Cancer Patients ,5000000,Department of Health and Human Services
National and State Tobacco Control Program ,89000000,Department of Health and Human Services
National Bioterrorism Hospital Preparedness Program,0,Department of Health and Human Services
National Center for Advancing Translational Sciences ,622000000,Department of Health and Human Services
National Center on Sleep Disorders Research ,105000000,Department of Health and Human Services
"National Collaboration to Support Health, Wellness and Academic Success of School-Age Children ",2000000,Department of Health and Human Services
National Ebola Training and Education Center (NETEC),0,Department of Health and Human Services
"National Family Caregiver Support, Title III, Part E",0,Department of Health and Human Services
Medicare Prescription Drug Coverage ,120600000000,Department of Health and Human Services
The White House budget offce said Medicare benefts would not be affected. Medicare Supplementary Medical Insurance ,520000000000,Department of Health and Human Services
The White House budget offce said Medicare benefts would not be affected. Mental and Behavioral Health Education and Training Grants,135000000,Department of Health and Human Services
Mental Health Disaster Assistance and Emergency Mental Health,0,Department of Health and Human Services
Mental Health Research Grants ,1800000000,Department of Health and Human Services
Minority Health and Health Disparities Research ,489000000,Department of Health and Human Services
Minority HIV/AIDS Fund (MHAF) ,31000000,Department of Health and Human Services
"National Family Caregiver Support, Title VI, Part C, Grants to Indian Tribes And Native Hawaiians",0,Department of Health and Human Services
National Harm Reduction Technical Assistance and Syringe Services Program (SSP) Monitoring and Evaluation Funding Opportunity ,12000000,Department of Health and Human Services
National Health Center for Health Workforce Analysis ,5000000,Department of Health and Human Services
National Health Promotion,0,Department of Health and Human Services
National Health Service Corps Loan Repayment ,369000000,Department of Health and Human Services
National Health Service Corps Scholarship Program ,49000000,Department of Health and Human Services
National Institutes of Health Extramural Loan Repayment Program ,95000000,Department of Health and Human Services
National Institutes of Health Intramural Loan Repayment Program ,6000000,Department of Health and Human Services
National Organizations for Chronic Disease Prevention and Health Promotion ,2000000,Department of Health and Human Services
National Organizations for State and Local Offcials ,3000000,Department of Health and Human Services
National Partnerships to promote cancer surveillance standards and support data quality and operations of National Program of Cancer Registries ,1000000,Department of Health and Human Services
National Research Service Award in Primary Care Medicine ,10000000,Department of Health and Human Services
National Research Service Awards Health Services Research Training ,11000000,Department of Health and Human Services
Native American Programs ,31000000,Department of Health and Human Services
Native Hawaiian Health Care Systems ,25000000,Department of Health and Human Services
Networking2Save: CDCs National Network Approach to Preventing and Controlling Tobacco-Related Cancers in Special Populations ,7000000,Department of Health and Human Services
NIEHS Hazardous Waste Worker Health and Safety Training ,35000000,Department of Health and Human Services
"NIEHS Superfund Hazardous Substance, Basic Research and Education ",49000000,Department of Health and Human Services
NIH Offce of Research on Womens Health ,51000000,Department of Health and Human Services
Nurse Anesthetist Traineeship ,2000000,Department of Health and Human Services
Nurse Corps Loan Repayment Program ,50000000,Department of Health and Human Services
Nurse Corps Scholarship ,24000000,Department of Health and Human Services
"Nurse Education, Practice Quality and Retention Grants ",49000000,Department of Health and Human Services
Nurse Faculty Loan Program (NFLP) ,26000000,Department of Health and Human Services
Nursing Home Staffng Campaign,0,Department of Health and Human Services
Nursing Research ,161000000,Department of Health and Human Services
Nursing Student Loans ,6000000,Department of Health and Human Services
Nursing Workforce Diversity ,22000000,Department of Health and Human Services
